Player_ID,Fee_Structure_ID,Mail_ID,Height,Name,Position,Birth_Date,Password,Attendance,Player_Status,Age
201901,6,arcu.eu.odio@student.nrb,162.34,Fulton Zimmerman,Position,28-09-1998,XyrLIO0Zk0a6,94.54,Active,0
201902,6,nunc.est@student.nrb,164.2,Jordan Wallace,Power Forward,09-07-1994,6PnAitqR1gTU,90.32,Active,0
201903,3,sem.ut@student.nrb,165.01,Lareina Green,Small Forward,01-11-1994,8PQ4YqgwazzD,90.99,Inactive,0
201904,2,fermentum.metus@student.nrb,160.71,Tatiana Bradford,Power Forward,23-06-1994,iyBlbDrTpgUA,92.74,Active,0
201905,6,laoreet.libero@student.nrb,164.83,Conan Shields,Small Forward,20-10-1999,nB9eq6IwMpNA,92.46,Active,0
201906,2,scelerisque.neque@student.nrb,161.17,Aurelia Perkins,Point Guard,22-05-2000,2sY3Ry0gCkPy,87.6,Inactive,0
201907,5,sit.amet.luctus@student.nrb,161.36,Kaseem Hickman,Power Forward,26-04-1996,G26eUKAaVTSS,91.55,Active,0
201908,2,id.blandit@student.nrb,162.09,Regina Hatfield,Center,14-12-1992,79UfRNhHKBOy,87.76,Active,0
201909,4,nec.cursus@student.nrb,165.46,Oleg Mccarthy,Point Guard,15-08-1990,7wh7uzVHKISj,88.79,Active,0
201910,7,ut.quam@student.nrb,162.75,Kibo Allen,Point Guard,23-08-1993,I0BOdPtW1l7w,91.69,Active,0
201911,4,quis.pede@student.nrb,156.86,Coby Pickett,Center,14-01-2003,X51wLor8EaMv,86.77,Active,0
201912,5,interdum.curabitur@student.nrb,166.33,Madaline Moore,Center,23-04-1997,JYVUqnGlSGYF,87.27,Active,0
201913,6,dignissim.lacus@student.nrb,164.87,Kenyon Rose,Point Guard,10-07-2001,rK1Y9fkJA9OA,90.51,Active,0
201914,3,justo@student.nrb,153.65,Kirsten Hartman,Power Forward,28-03-2001,QI2EFe2dEH3P,87.24,Active,0
201915,5,vulputate.risus.a@student.nrb,153.43,Florence Duncan,Center,07-02-1995,1EwoqPWYQZsb,91.43,Active,0
201916,2,duis.risus@student.nrb,168.19,Tanner Berry,Power Forward,11-01-1996,Griwp5Vi2jJa,91.69,Active,0
201917,1,turpis.non@student.nrb,161.56,Winifred Malone,Small Forward,20-11-1995,g6yENs5kzxvf,90.16,Active,0
201918,6,amet.dapibus@student.nrb,160.92,Wanda Riddle,Shooting Guard,11-01-1994,oi4EXxveD00p,92.16,Inactive,0
201919,2,in.mi.pede@student.nrb,156.5,Ahmed Delgado,Power Forward,03-02-1993,msPonKpbdgcx,87.52,Active,0
201920,6,tortor.nunc@student.nrb,161.7,Urielle David,Shooting Guard,30-10-2004,NDYQufMwAdiQ,88.94,Active,0
201921,2,vestibulum.mauris@student.nrb,153.98,Leroy Kent,Small Forward,08-01-1999,ywVlQBbCYaLH,92.38,Active,0
201922,6,eget.volutpat@student.nrb,153.66,Shad Kemp,Point Guard,28-10-2000,31SjfEZ78GLT,89.15,Active,0
201923,5,in.mi@student.nrb,166.23,Hilel Parker,Shooting Guard,02-03-1996,KySU9wbhVEN9,91.16,Active,0
201924,6,vitae.nibh@student.nrb,164.07,Gray Parrish,Point Guard,24-01-1990,5iLLVsrPKCx4,89.33,Active,0
201925,2,risus@student.nrb,170.87,Lisandra Walter,Small Forward,17-06-1998,xAYayazEdwmw,88.55,Active,0
